I (256) sleep_gpio: Configure to isolate all GPIO pins in sleep state
I (263) sleep_gpio: Enable automatic switching of GPIO sleep configuration
I (270) main_task: Started on CPU0
I (280) main_task: Calling app_main()
I (280) SYS_DEMO: ==== MAX30102 RAW LOGGER START ====
I (280) SYS_DEMO: INA219 found, CONFIG(before)=0x399F
I (290) SYS_DEMO: MAX30102 PART_ID=0x15
I (390) SYS_DEMO: MAX30102 profile applied: 25sps_low
I (390) SYS_DEMO: PROFILE_SWEEP disabled: fixed profile mode
timestamp_ms,profile_id,red,ir,bus_v,current_ma,power_mw
181,1,36227,38165,3.288,5.100,16.769
221,1,36153,38043,3.288,5.100,16.769
261,1,36125,37980,3.288,5.100,16.769
302,1,36135,37997,3.284,5.000,16.420
342,1,36164,38054,3.284,5.000,16.420
381,1,36150,38075,3.268,4.400,14.379
421,1,36145,38060,3.268,4.400,14.379
461,1,36116,38007,3.268,4.400,14.379
501,1,36100,37930,3.276,4.400,14.414
541,1,36062,37880,3.276,4.400,14.414
581,1,36019,37790,3.284,4.700,15.435
621,1,36002,37749,3.284,4.700,15.435
662,1,36017,37790,3.284,4.700,15.435
701,1,36001,37729,3.280,4.600,15.088
741,1,35870,37487,3.280,4.600,15.088
781,1,35798,37288,3.260,4.800,15.648
821,1,35789,37286,3.260,4.800,15.648
861,1,35832,37384,3.260,4.800,15.648
901,1,35889,37506,3.268,4.700,15.360
941,1,35933,37598,3.268,4.700,15.360
981,1,35950,37632,3.276,4.700,15.397
1021,1,35930,37626,3.276,4.700,15.397
1061,1,35918,37571,3.276,4.700,15.397
1101,1,35909,37565,3.280,4.500,14.760
1141,1,35929,37609,3.280,4.500,14.760
1181,1,35959,37694,3.284,6.300,20.689
1221,1,35998,37743,3.284,6.300,20.689
1261,1,35994,37749,3.284,6.300,20.689
1302,1,35908,37548,3.284,4.700,15.435
1341,1,35763,37228,3.284,4.700,15.435
1381,1,35655,37024,3.268,4.500,14.706
1421,1,35673,37056,3.268,4.500,14.706
1461,1,35741,37194,3.268,4.500,14.706
1501,1,35832,37398,3.276,4.400,14.414
1541,1,35891,37528,3.276,4.400,14.414
1582,1,35919,37541,3.284,4.800,15.763
1622,1,35894,37538,3.284,4.800,15.763
1662,1,35887,37530,3.284,4.800,15.763
1701,1,35866,37467,3.284,4.200,13.793
1741,1,35841,37437,3.284,4.200,13.793
1781,1,35831,37404,3.260,4.800,15.648
1821,1,35811,37358,3.260,4.800,15.648
1861,1,35744,37225,3.260,4.800,15.648
1902,1,35593,36892,3.284,4.600,15.106
1942,1,35426,36522,3.284,4.600,15.106
1981,1,35374,36450,3.276,4.600,15.070
2021,1,35435,36597,3.276,4.600,15.070
2061,1,35497,36723,3.276,4.600,15.070
2101,1,35531,36781,3.284,4.400,14.450
2141,1,35524,36786,3.284,4.400,14.450
2182,1,35520,36758,3.280,6.500,21.320
2222,1,35509,36719,3.280,6.500,21.320
2262,1,35502,36705,3.280,6.500,21.320
2301,1,35533,36754,3.280,4.800,15.744
2341,1,35579,36844,3.280,4.800,15.744
2381,1,35610,36923,3.268,4.700,15.360
2421,1,35619,36930,3.268,4.700,15.360
2461,1,35593,36852,3.268,4.700,15.360
2502,1,35435,36492,3.280,4.700,15.416
2542,1,35262,36109,3.280,4.700,15.416
2581,1,35255,36096,3.280,8.100,26.568
