Executing action: monitor
Running idf_monitor in directory C:\ml\esp32_projects\ina219_max30102_test
Executing "C:\Users\nguye\.espressif\python_env\idf5.5_py3.11_env\Scripts\python.exe C:\Users\nguye\esp\v5.5.1\esp-idf\tools/idf_monitor.py -p COM7 -b 115200 --toolchain-prefix xtensa-esp32s3-elf- --target esp32s3 --revision 0 C:\ml\esp32_projects\ina219_max30102_test\build\ina219_max30102_test.elf C:\ml\esp32_projects\ina219_max30102_test\build\bootloader\bootloader.elf --force-color -m 'C:\Users\nguye\.espressif\python_env\idf5.5_py3.11_env\Scripts\python.exe' 'C:\Users\nguye\esp\v5.5.1\esp-idf\tools\idf.py' '-p' 'COM7'"...
ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x2b (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x158c
load:0x403c8700,len:0xd24
load:0x403cb700,len:0x2f34
entry 0x403c8924
I (24) boot: ESP-IDF v5.5.1 2nd stage bootloader
I (25) boot: compile time Mar 18 2026 13:34:42
I (25) boot: Multicore bootloader
I (25) boot: chip revision: v0.2
I (28) boot: efuse block revision: v1.3
I (31) boot.esp32s3: Boot SPI Speed : 80MHz
I (35) boot.esp32s3: SPI Mode       : DIO
I (39) boot.esp32s3: SPI Flash Size : 2MB
I (43) boot: Enabling RNG early entropy source...
I (47) boot: Partition Table:
I (50) boot: ## Label            Usage          Type ST Offset   Length
I (56) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (63) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (69) boot:  2 factory          factory app      00 00 00010000 00100000
I (76) boot: End of partition table
I (79) esp_image: segment 0: paddr=00010020 vaddr=3c020020 size=0bc9ch ( 48284) map
I (95) esp_image: segment 1: paddr=0001bcc4 vaddr=3fc93900 size=02b08h ( 11016) load
I (98) esp_image: segment 2: paddr=0001e7d4 vaddr=40374000 size=01844h (  6212) load
I (103) esp_image: segment 3: paddr=00020020 vaddr=42000020 size=1ad38h (109880) map
I (128) esp_image: segment 4: paddr=0003ad60 vaddr=40375844 size=0e0a8h ( 57512) load
I (141) esp_image: segment 5: paddr=00048e10 vaddr=50000000 size=00020h (    32) load
I (147) boot: Loaded app from partition at offset 0x10000
I (147) boot: Disabling RNG early entropy source...
I (159) cpu_start: Multicore app
I (168) cpu_start: Pro cpu start user code
I (168) cpu_start: cpu freq: 160000000 Hz
I (168) app_init: Application information:
I (168) app_init: Project name:     ina219_max30102_test
I (173) app_init: App version:      1
I (176) app_init: Compile time:     Mar 18 2026 12:44:51
I (181) app_init: ELF file SHA256:  ed3c2a9c7...
I (186) app_init: ESP-IDF:          v5.5.1
I (189) efuse_init: Min chip rev:     v0.0
I (193) efuse_init: Max chip rev:     v0.99 
I (197) efuse_init: Chip rev:         v0.2
I (201) heap_init: Initializing. RAM available for dynamic allocation:
I (207) heap_init: At 3FC96CF0 len 00052A20 (330 KiB): RAM
I (213) heap_init: At 3FCE9710 len 00005724 (21 KiB): RAM
I (218) heap_init: At 3FCF0000 len 00008000 (32 KiB): DRAM
I (223) heap_init: At 600FE000 len 00001FE8 (7 KiB): RTCRAM
I (229) spi_flash: detected chip: boya
I (232) spi_flash: flash io: dio
W (235) spi_flash: Detected size(16384k) larger than the size in the binary image header(2048k). Using the size in the binary image header.
W (247) i2c: This driver is an old driver, please migrate your application code to adapt `driver/i2c_master.h`
I (257) sleep_gpio: Configure to isolate all GPIO pins in sleep state
I (263) sleep_gpio: Enable automatic switching of GPIO sleep configuration
I (270) main_task: Started on CPU0
I (280) main_task: Calling app_main()
I (280) SYS_DEMO: ==== MAX30102 RAW LOGGER START ====
I (280) SYS_DEMO: INA219 found, CONFIG(before)=0x399F
I (290) SYS_DEMO: MAX30102 PART_ID=0x15
I (390) SYS_DEMO: MAX30102 profile applied: 50sps_med
I (390) SYS_DEMO: Adaptive scheduler mode (2-state: normal=50sps_med, high=100sps_med)
timestamp_ms,state_id,profile_id,quality_pass,difficulty_proxy,red,ir,bus_v,current_ma,power_mw
190,0,2,1,0.500,73504,78911,3.264,3.200,10.445
230,0,2,1,0.500,80052,90977,3.264,3.200,10.445
270,0,2,1,0.500,80099,91030,3.248,4.500,14.616
310,0,2,1,0.500,80045,90981,3.248,4.500,14.616
350,0,2,1,0.500,80045,90937,3.248,4.500,14.616
390,0,2,1,0.500,79996,90936,3.252,4.900,15.935
430,0,2,1,0.500,80047,91047,3.252,4.900,15.935
470,0,2,1,0.500,80030,91036,3.252,4.700,15.284
510,0,2,1,0.500,80059,91128,3.252,4.700,15.284
550,0,2,1,0.500,80104,91217,3.252,4.700,15.284
590,0,2,1,0.500,80118,91236,3.248,4.800,15.590
630,0,2,1,0.500,80122,91284,3.248,4.800,15.590
670,0,2,1,0.500,80148,91367,3.252,4.700,15.284
710,0,2,1,0.500,80081,91170,3.252,4.700,15.284
750,0,2,1,0.500,79930,90848,3.252,4.700,15.284
790,0,2,1,0.500,79863,90694,3.252,4.900,15.935
830,0,2,1,0.500,79850,90634,3.252,4.900,15.935
870,0,2,1,0.500,79801,90570,3.248,4.800,15.590
910,0,2,1,0.500,79823,90575,3.248,4.800,15.590
950,0,2,1,0.500,79830,90591,3.248,4.800,15.590
990,0,2,1,0.500,79815,90589,3.252,4.700,15.284
1030,0,2,1,0.500,79799,90530,3.252,4.700,15.284
1070,0,2,1,0.500,79815,90568,3.252,4.800,15.610
1110,0,2,1,0.500,79808,90582,3.252,4.800,15.610
1150,0,2,1,0.500,79836,90665,3.252,4.800,15.610
1190,0,2,1,0.500,79882,90738,3.252,4.800,15.610
1230,0,2,1,0.500,79889,90798,3.252,4.800,15.610
1270,0,2,1,0.500,79925,90860,3.252,4.900,15.935
1310,0,2,1,0.500,79902,90915,3.252,4.900,15.935
1350,0,2,1,0.500,79969,91003,3.252,4.900,15.935
1390,0,2,1,0.500,79969,91020,3.248,4.700,15.266
1430,0,2,1,0.500,79934,90960,3.248,4.700,15.266
1470,0,2,1,0.500,79823,90687,3.248,4.700,15.266
1510,0,2,1,0.500,79762,90487,3.248,4.700,15.266
1550,0,2,1,0.500,79724,90384,3.248,4.700,15.266
1590,0,2,1,0.500,79662,90323,3.248,4.900,15.915
1630,0,2,1,0.500,79654,90296,3.248,4.900,15.915
1670,0,2,1,0.500,79661,90316,3.248,4.800,15.590
1710,0,2,1,0.500,79669,90324,3.248,4.800,15.590
1750,0,2,1,0.500,79669,90333,3.248,4.800,15.590
1790,0,2,1,0.500,79681,90342,3.252,5.000,16.260
1830,0,2,1,0.500,79660,90353,3.252,5.000,16.260
1870,0,2,1,0.500,79704,90415,3.252,4.800,15.610
1910,0,2,1,0.500,79724,90454,3.252,4.800,15.610
1950,0,2,1,0.500,79750,90541,3.252,4.800,15.610
1990,0,2,1,0.500,79777,90583,3.248,4.600,14.941
2030,0,2,1,0.500,79778,90638,3.248,4.600,14.941
2070,0,2,1,0.500,79790,90701,3.252,4.800,15.610
2110,0,2,1,0.500,79816,90757,3.252,4.800,15.610
2150,0,2,1,0.500,79790,90675,3.252,4.800,15.610
2190,0,2,1,0.500,79637,90395,3.248,4.700,15.266
2230,0,2,1,0.500,79564,90116,3.248,4.700,15.266
2270,0,2,1,0.500,79470,89938,3.252,4.900,15.935
2310,0,2,1,0.500,79492,89917,3.252,4.900,15.935
2350,0,2,1,0.500,79493,89911,3.252,4.900,15.935
2390,0,2,1,0.500,79517,89955,3.252,4.700,15.284
2430,0,2,1,0.500,79484,89942,3.252,4.700,15.284
2471,0,2,1,0.500,79506,89982,3.252,4.800,15.610
2510,0,2,1,0.500,79486,89960,3.252,4.800,15.610
2550,0,2,1,0.500,79480,89945,3.252,4.800,15.610
2590,0,2,1,0.500,79524,90042,3.252,4.800,15.610
2630,0,2,1,0.500,79539,90121,3.252,4.800,15.610
2670,0,2,1,0.500,79565,90188,3.252,4.600,14.959
2710,0,2,1,0.500,79580,90271,3.252,4.600,14.959
2750,0,2,1,0.500,79619,90293,3.252,4.600,14.959
2791,0,2,1,0.500,79583,90314,3.252,4.700,15.284
2830,0,2,1,0.500,79650,90372,3.252,4.700,15.284
